word,entropy,frequency,sum
rates,6.250232,1.0,7.250232
tales,6.196159,0.999999969176857,7.196159
cares,6.177349,0.9999999999999998,7.177349
tires,6.176258,0.9999994671364947,7.176257
tears,6.150737,1.0,7.150737
lanes,6.147513,0.9999958400360932,7.147509
tries,6.145889,1.0,7.145889
roles,6.114642,1.0,7.114642
raise,6.069872,1.0,7.069872
races,6.043064,0.9999999999999989,7.043064
earns,6.052708,0.9789586529795317,7.031667
rails,6.030522,0.9995241823811616,7.030046
tones,6.028782,0.9991069727177018,7.027889
rains,6.01139,0.9998454749806134,7.011235
tiles,6.001726,0.9977397115627613,6.999466
cores,6.030786,0.9664307767185175,6.997217
dates,5.979723,1.0,6.979723
rites,6.051043,0.9255320548339719,6.976575
slate,5.969628,0.999754016479418,6.969382
tails,5.966434,0.9962416132414993,6.962676
siren,6.023771,0.9379059787516913,6.961677
reads,5.958199,0.9999999999873708,6.958199
males,5.957943,0.9999999998607847,6.957943
cries,5.949985,0.9999857679519605,6.949971
lines,5.944019,1.0,6.944019
laser,5.925906,0.9999999997463334,6.925906
stare,5.924821,0.9999748342135404,6.924796
acres,5.921659,0.9999999988631447,6.921659
dares,6.198453,0.7078572714244814,6.90631
arise,5.902048,0.9999857679519605,6.902034
mates,5.900908,0.9999978499127818,6.900906
tapes,5.899355,0.999754016479418,6.899109
deals,5.898071,1.0,6.898071
liars,5.95794,0.9379059787516913,6.895846
raids,5.894666,0.9999561635036464,6.894622
paris,5.894299,1.0,6.894299
notes,5.89251,1.0,6.89251
pores,5.995466,0.8965995485417504,6.892066
loans,5.873339,1.0,6.873339
rules,5.863383,1.0,6.863383
rapes,6.000238,0.861761726827506,6.862
rides,5.86057,0.9999998395045366,6.86057
leads,5.858345,1.0,6.858345
trans,5.857763,1.0,6.857763
saint,5.855804,1.0,6.855804
nails,5.854495,0.9999996602311623,6.854495
roads,5.850555,1.0,6.850555
pairs,5.845934,0.9999999803462959,6.845934
solar,5.844544,1.0,6.844544
hears,5.844534,0.9994130595039192,6.843947
ropes,5.84633,0.9947798743064417,6.84111
hates,5.834984,0.9999999967512645,6.834984
