word,freq
about,0.00251
their,0.00214
there,0.00204
which,0.002
would,0.00186
other,0.00145
after,0.00129
first,0.00129
think,0.0012
could,0.00115
these,0.0011
where,0.001
years,0.000912
right,0.000912
being,0.000891
going,0.000871
still,0.000832
never,0.000813
those,0.000794
world,0.000776
great,0.000759
while,0.000724
every,0.000617
three,0.000603
state,0.000603
since,0.000562
under,0.000537
thing,0.000525
house,0.000513
place,0.000513
again,0.000501
found,0.000479
might,0.000457
money,0.000437
night,0.000407
until,0.000407
doing,0.000398
group,0.000372
women,0.000372
start,0.000363
times,0.000363
today,0.000355
point,0.000347
music,0.000331
water,0.000331
power,0.000331
white,0.000324
small,0.000324
based,0.000324
order,0.000309
later,0.000309
party,0.000309
thank,0.000302
using,0.000295
black,0.000288
whole,0.000288
makes,0.000288
maybe,0.000282
story,0.000282
least,0.000275
games,0.000275
means,0.000275
local,0.000269
young,0.000269
video,0.000269
early,0.000269
often,0.000257
given,0.000257
court,0.000257
level,0.000257
hours,0.000251
south,0.000251
death,0.000251
large,0.000245
known,0.000245
wrong,0.000245
along,0.00024
needs,0.000234
comes,0.000229
class,0.000229
looks,0.000229
close,0.000229
happy,0.000224
cause,0.000224
human,0.000224
woman,0.000224
watch,0.000219
leave,0.000219
north,0.000219
light,0.000214
taken,0.000214
short,0.000214
third,0.000209
check,0.000204
heart,0.000204
among,0.000204
child,0.0002
major,0.0002
phone,0.0002
media,0.0002
asked,0.0002
quite,0.000195
works,0.000195
gonna,0.000195
final,0.000191
ready,0.000191
front,0.000191
heard,0.000186
bring,0.000186
march,0.000182
study,0.000182
month,0.000178
words,0.000178
clear,0.000178
wants,0.000174
seems,0.000174
field,0.000174
board,0.000174
fight,0.00017
price,0.00017
space,0.00017
shows,0.00017
issue,0.00017
force,0.00017
total,0.000162
above,0.000158
share,0.000158
sense,0.000155
weeks,0.000155
takes,0.000151
sorry,0.000151
event,0.000151
break,0.000151
girls,0.000148
learn,0.000148
guess,0.000148
press,0.000145
tried,0.000145
worth,0.000145
alone,0.000145
movie,0.000145
hands,0.000145
added,0.000145
books,0.000141
value,0.000141
areas,0.000141
sound,0.000141
stand,0.000138
lives,0.000138
round,0.000138
stuff,0.000138
trust,0.000135
drive,0.000135
